Date,EMA12_pctchg,RSI,Pct_Chg,MACD_sentiment,Upper_BB_pctchg,Lower_BB_pctchg,EMA_sentiment,Volume_sentiment,bull_target,bear_target
2019-10-07,0.8931442684885981,46.016606870875044,-0.5098302779172337,1,5.525626852545697,1.3461932328415611,0,1,1,0
2019-10-08,2.423917996402366,39.83885230307055,-1.9765703302003113,1,7.613327396660457,0.0368566708230208,0,0,1,0
2019-10-09,1.283229262228153,43.59501030672564,0.9335324629945463,1,6.755017254592661,1.3884421830517661,0,1,1,0
2019-10-10,0.22063041991577542,47.526415649231744,1.0358815101148444,1,5.638508143696561,2.630166228007915,0,1,1,0
2019-10-11,0.8630646695721667,51.88915697387307,1.2449657972783745,1,4.163067072606919,3.8813288868627644,0,0,1,0
2019-10-14,0.8524308131110769,52.38814244573547,0.14466877424670344,1,3.762489795365774,3.9983052475398693,0,1,1,0
2019-10-15,1.9471122963328895,57.149725971363544,1.4445634193408274,0,2.1898738375478723,5.418837402478424,0,0,1,0
2019-10-16,1.4288693154704406,56.09780778346488,-0.24919791542887815,0,2.13426555548123,5.0069976514473495,1,1,1,0
2019-10-17,1.2673768849786786,56.34379965587259,0.07137921997475427,0,1.8541267363834542,4.978310633803196,1,1,1,0
2019-10-18,1.2833074195822918,57.242198840075915,0.24964227010939588,0,1.624886454835893,5.246609519590824,1,1,1,0
2019-10-21,2.265527946295591,61.920092106099325,1.3874044154407406,0,0.5121420196161355,6.848468612975854,1,1,1,0
2019-10-22,1.6690074195212539,60.46618590480406,-0.2807014866879065,0,1.0752323642787764,6.653267165046979,1,0,1,0
2019-10-23,1.7697677058940824,61.903806587039234,0.4222408124956223,0,0.9234573652877733,7.2328154982356745,1,1,1,0
2019-10-24,1.37336428937083,61.11014063244984,-0.1401573729648331,0,1.3305479667695919,7.180408718275971,1,1,1,0
2019-10-25,1.578893010020549,62.894091539162005,0.49122592859101033,0,1.1537639701524687,7.840638056412774,1,1,1,0
2019-10-28,1.7803734247300764,64.75033232515233,0.5237483557109401,0,1.048051248864595,8.575672798756774,1,0,1,0
2019-10-29,1.7105291275344818,65.6104955151593,0.2431389114213811,0,1.2829802528491399,8.819759120397418,1,0,1,0
2019-10-30,1.384235265650362,65.1240054865624,-0.06930165398714161,0,1.599485308435306,8.233027358416619,1,0,1,0
2019-10-31,0.753803167961785,61.693265429022865,-0.4854347742986209,0,2.188501190432898,7.14214141975302,1,0,1,0
2019-11-01,1.879000356797656,67.24043329468304,1.463414861076573,0,1.2028297609153034,8.573784574498534,1,1,1,0
